101	114	116.5		
102	141.5	116.5		
103	146	120.5		
104	152	120.5		
105	101	137		
106	114	137		
107	146	137		
108	146	151		
109	170	151		
201	94	118		
202	114.5	118		
203	141	118		
204	94	131		
205	148	130		
206	190	130		
207	187	149		
208	170.5	157.5		
209	187	157.5		
301	90	72.5		
302	112	72		
303	183.5	71.5		
304	105.5	89		
305	112	89		
306	147	89		
307	184	89		
308	216	89		
309	222	91		
310	238.5	62		
311	106	113.5		
312	138	113.5		
313	157	113.5		
314	168	113.5		
315	180	113.5		
316	210	113.5		
317	63	123		
318	77	130.5		
319	105	130		
320	138	130.5		
321	168	130.5		
322	200	129		
323	51	145.5		
324	180	130.5		
401	237	63		
402	91	72		
403	112	72		
404	152	72		
405	182	72		
406	187	72		
407	98	90		
408	112	90		
409	152	90		
410	180	90		
411	209	90		
412	86	115		
413	138	115		
414	167	115		
415	180	115		
416	197	115		
417	210	115		
418	63	124		
419	77	132		
420	138	132		
421	167	132		
422	180	132		
423	195	132		
424	51	146		
501	237	63		
502	91	72		
503	112	72		
504	185	72		
505	98	90		
506	112	90		
507	148	90		
508	185	90		
509	209	90		
510	107	115		
511	138	115		
512	148	115		
513	167	115		
514	180	115		
515	197	115		
516	210	115		
517	63	124		
518	77	132		
519	104	132		
520	138	132		
521	167	132		
522	180	132		
523	195	132		
524	51	146		
0				
101	102	106		
102	101	103	104	
103	102	104	107	
104	103	107		
105	106	108		
106	105	107	108	
107	106	108	103	104
108	105	106	107	109
109	108			
201	202	204		
202	201	203		
203	202	205		
204	201			
205	203	206		
206	205	207		
207	206	209		
208	209			
209	208	207		
301	302	317		
302	301	303		
303	302	307		
304	305	311		
305	304	306		
306	305	307		
307	306	303	308	
308	307	309		
309	308	316		
310	309			
311	304	312	319	
312	311	320	313	
313	314	312	306	
314	313	315	321	
315	314	316	324	
316	315	309	322	
317	323	301	318	
318	317	319		
319	311	318		
320	312	321		
321	320	314	324	
322	324	316		
323	317			
324	321	315	322	
401	417			
402	403	418		
403	402	404	408	
404	403	405	409	
405	404	406	410	
406	405			
407	408	412		
408	403	407	409	
409	404	408	410	
410	405	409	411	
411	410	416		
412	407	413	419	
413	412	414	420	
414	413	415	421	
415	414	416	422	
416	411	415	417	
417	401	416	423	
418	402	419	424	
419	412	418		
420	413	421		
421	414	420	422	
422	415	421	423	
423	417	422		
424	418			
501	516			
502	503	517		
503	502	504	506	
504	503	508		
505	506	519		
506	503	505	507	
507	506	508	513	
508	504	507	509	
509	508	515		
510	511	519		
511	510	512	520	
512	507	511	513	
513	512	514	521	
514	513	515	522	
515	509	514	516	
516	501	515	523	
517	502	518	524	
518	505	517	519	
519	510	518		
520	511	521		
521	513	520	522	
522	514	521	523	
523	516	522		
524	517			
0				
